"ORDRE","NOM","GENERE","ANY","FREQ‹»NCIA"
5,"LUCIA","Dona",2008,146
6,"CARLA","Dona",2008,139
7,"PAULA","Dona",2008,136
8,"CLAUDIA","Dona",2008,113
9,"SARA","Dona",2008,102
10,"JANA","Dona",2008,92
11,"ARIADNA","Dona",2008,84
12,"ANNA","Dona",2008,82
13,"LAURA","Dona",2008,82
14,"SOFIA","Dona",2008,81
15,"NOA","Dona",2008,78
16,"AINA","Dona",2008,77
17,"ALBA","Dona",2008,75
18,"BERTA","Dona",2008,73
19,"EMMA","Dona",2008,73
20,"MARTA","Dona",2008,69
21,"IRENE","Dona",2008,66
22,"CLARA","Dona",2008,63
23,"ABRIL","Dona",2008,61
24,"MARINA","Dona",2008,60
25,"CARLOTA","Dona",2008,56
1,"MARTINA","Dona",2009,167
2,"LAIA","Dona",2009,159
3,"MARIA","Dona",2009,154
4,"PAULA","Dona",2009,143
5,"LUCIA","Dona",2009,138
6,"JULIA","Dona",2009,128
7,"CARLA","Dona",2009,118
8,"CLAUDIA","Dona",2009,112
9,"AINA","Dona",2009,88
10,"SOFIA","Dona",2009,87
11,"LAURA","Dona",2009,78
12,"SARA","Dona",2009,77
13,"ALBA","Dona",2009,76
14,"ANNA","Dona",2009,76
15,"NOA","Dona",2009,74
16,"JANA","Dona",2009,71
17,"ARIADNA","Dona",2009,70
18,"DANIELA","Dona",2009,66
19,"BERTA","Dona",2009,65
20,"EMMA","Dona",2009,59
21,"IRENE","Dona",2009,56
22,"ABRIL","Dona",2009,55
23,"MARTA","Dona",2009,53
24,"CARLOTA","Dona",2009,51
25,"MARINA","Dona",2009,50
1,"MARTINA","Dona",2010,194
2,"JULIA","Dona",2010,173
3,"MARIA","Dona",2010,147
4,"LUCIA","Dona",2010,139
5,"PAULA","Dona",2010,135
6,"LAIA","Dona",2010,128
7,"CARLA","Dona",2010,120
8,"AINA","Dona",2010,109
9,"SARA","Dona",2010,102
10,"CLAUDIA","Dona",2010,101
11,"SOFIA","Dona",2010,95
12,"NOA","Dona",2010,83
13,"ARIADNA","Dona",2010,76
14,"ALBA","Dona",2010,69
15,"LAURA","Dona",2010,66
16,"EMMA","Dona",2010,63
17,"CLARA","Dona",2010,60
18,"ANNA","Dona",2010,58
19,"DANIELA","Dona",2010,58
20,"ABRIL","Dona",2010,57
21,"INES","Dona",2010,57
22,"BERTA","Dona",2010,56
23,"JANA","Dona",2010,53
24,"CARLOTA","Dona",2010,49
25,"IRENE","Dona",2010,47
1,"MARTINA","Dona",2011,157
2,"JULIA","Dona",2011,154
3,"LAIA","Dona",2011,146
4,"MARIA","Dona",2011,124
5,"LUCIA","Dona",2011,123
6,"PAULA","Dona",2011,113
7,"SOFIA","Dona",2011,109
8,"CARLA","Dona",2011,105
9,"NOA","Dona",2011,104
10,"CLAUDIA","Dona",2011,95
11,"SARA","Dona",2011,95
12,"AINA","Dona",2011,94
13,"ARIADNA","Dona",2011,81
14,"EMMA","Dona",2011,81
15,"ALBA","Dona",2011,78
16,"ONA","Dona",2011,74
17,"DANIELA","Dona",2011,69
18,"CLARA","Dona",2011,65
19,"IRENE","Dona",2011,60
20,"NORA","Dona",2011,58
21,"MARTA","Dona",2011,55
22,"OLIVIA","Dona",2011,55
23,"JANA","Dona",2011,52
24,"BERTA","Dona",2011,51
25,"ANNA","Dona",2011,50
1,"JULIA","Dona",2012,158
2,"LAIA","Dona",2012,156
3,"MARTINA","Dona",2012,152
4,"CARLA","Dona",2012,122
5,"MARIA","Dona",2012,121
6,"LUCIA","Dona",2012,119
7,"SOFIA","Dona",2012,100
8,"PAULA","Dona",2012,96
9,"AINA","Dona",2012,94
10,"EMMA","Dona",2012,93
11,"CLAUDIA","Dona",2012,84
12,"VALENTINA","Dona",2012,83
13,"ARIADNA","Dona",2012,78
14,"SARA","Dona",2012,78
15,"NOA","Dona",2012,71
16,"ALBA","Dona",2012,70
17,"ONA","Dona",2012,68
18,"JANA","Dona",2012,67
19,"LAURA","Dona",2012,65
20,"CARLOTA","Dona",2012,59
21,"ANNA","Dona",2012,58
22,"OLIVIA","Dona",2012,57
23,"BERTA","Dona",2012,56
24,"ABRIL","Dona",2012,54
25,"MAR","Dona",2012,53
1,"JULIA","Dona",2013,143
2,"MARTINA","Dona",2013,137
3,"LAIA","Dona",2013,131
4,"MARIA","Dona",2013,117
5,"LUCIA","Dona",2013,116
6,"PAULA","Dona",2013,111
7,"EMMA","Dona",2013,105
8,"SOFIA","Dona",2013,102
9,"NOA","Dona",2013,88
10,"AINA","Dona",2013,87
11,"CARLA","Dona",2013,81
12,"CLAUDIA","Dona",2013,81
13,"VALENTINA","Dona",2013,78
14,"ARIADNA","Dona",2013,71
15,"ALBA","Dona",2013,69
16,"JANA","Dona",2013,65
17,"SARA","Dona",2013,59
18,"BERTA","Dona",2013,55
19,"OLIVIA","Dona",2013,55
20,"ONA","Dona",2013,55
21,"ABRIL","Dona",2013,51
22,"ARLET","Dona",2013,51
23,"NORA","Dona",2013,50
24,"AINHOA","Dona",2013,49
25,"DANIELA","Dona",2013,48
1,"LAIA","Dona",2014,153
2,"MARTINA","Dona",2014,134
3,"JULIA","Dona",2014,120
4,"EMMA","Dona",2014,117
5,"NOA","Dona",2014,107
6,"SOFIA","Dona",2014,106
7,"MARIA","Dona",2014,105
8,"VALENTINA","Dona",2014,99
9,"CARLA","Dona",2014,91
10,"LUCIA","Dona",2014,89
11,"ONA","Dona",2014,84
12,"PAULA","Dona",2014,84
